features,final_ranking_points,final_ranking
onehot__x4_8710.0,747,129
onehot__x4_7855.0,753,130
onehot__x4_9620.0,762,131
onehot__x4_5310.0,773,132
onehot__x4_9120.0,778,133
onehot__x4_3255.0,785,134
onehot__x4_8500.0,797,135
onehot__x4_8940.0,797,136
onehot__x4_1700.0,800,137
onehot__x4_3420.0,812,138
onehot__x4_6250.0,813,139
onehot__x4_830.0,815,140
onehot__x4_735.0,817,141
onehot__x4_4010.0,820,142
onehot__x4_4520.0,826,143
onehot__x4_8310.0,831,144
onehot__x4_6420.0,836,145
onehot__x4_7240.0,838,146
onehot__x4_726.0,852,147
onehot__x4_8530.0,856,148
onehot__x4_1820.0,861,149
onehot__x4_9360.0,872,150
onehot__x4_1440.0,876,151
onehot__x4_5010.0,878,152
onehot__x3_5.0,878,153
onehot__x4_8550.0,882,154
onehot__x4_9610.0,884,155
onehot__x4_5900.0,887,156
onehot__x4_1840.0,891,157
onehot__x4_9600.0,891,158
onehot__x4_7840.0,894,159
onehot__x4_430.0,898,160
onehot__x4_20.0,898,161
onehot__x4_7320.0,908,162
onehot__x4_5350.0,915,163
onehot__x4_8460.0,928,164
onehot__x4_2016.0,939,165
onehot__x4_6240.0,943,166
onehot__x4_1760.0,955,167
onehot__x4_3940.0,959,168
onehot__x4_565.0,967,169
onehot__x4_4000.0,970,170
onehot__x4_9800.0,970,171
onehot__x4_7140.0,977,172
onehot__x4_910.0,978,173
onehot__x4_3630.0,980,174
onehot__x4_5610.0,984,175
onehot__x4_600.0,988,176
onehot__x4_8450.0,996,177
onehot__x4_5850.0,1002,178
onehot__x4_4240.0,1011,179
onehot__x4_3310.0,1022,180
onehot__x4_5520.0,1024,181
onehot__x4_860.0,1024,182
onehot__x4_9350.0,1031,183
onehot__x4_4620.0,1031,184
onehot__x4_8510.0,1038,185
onehot__x4_4220.0,1041,186
onehot__x4_137.0,1051,187
onehot__x4_3640.0,1056,188
onehot__x4_1300.0,1062,189
onehot__x4_230.0,1068,190
onehot__x4_9260.0,1075,191
onehot__x4_8950.0,1079,192
onehot__x4_4840.0,1082,193
onehot__x4_6010.0,1086,194
onehot__x4_4500.0,1090,195
onehot__x4_4350.0,1096,196
onehot__x4_2440.0,1098,197
onehot__x4_9310.0,1100,198
onehot__x4_6515.0,1121,199
onehot__x4_425.0,1126,200
onehot__x4_1030.0,1127,201
onehot__x4_3220.0,1143,202
onehot__x4_8255.0,1149,203
onehot__x4_7540.0,1156,204
onehot__x4_60.0,1159,205
onehot__x3_4.0,1159,206
onehot__x4_3230.0,1168,207
onehot__x4_5100.0,1174,208
onehot__x4_4820.0,1176,209
onehot__x4_5920.0,1178,210
onehot__x4_5810.0,1180,211
onehot__x4_3910.0,1185,212
onehot__x4_800.0,1185,213
onehot__x4_8256.0,1189,214
onehot__x4_650.0,1204,215
onehot__x4_7750.0,1213,216
onehot__x4_6230.0,1216,217
onehot__x4_3320.0,1218,218
onehot__x4_5020.0,1225,219
onehot__x4_3400.0,1238,220
onehot__x4_220.0,1239,221
onehot__x4_8920.0,1240,222
onehot__x4_8760.0,1240,223
onehot__x4_9630.0,1249,224
onehot__x4_8800.0,1253,225
onehot__x4_3930.0,1254,226
onehot__x4_6260.0,1260,227
onehot__x4_9110.0,1262,228
onehot__x4_630.0,1273,229
onehot__x4_6700.0,1284,230
onehot__x4_9820.0,1292,231
onehot__x4_8750.0,1300,232
onehot__x4_740.0,1301,233
onehot__x4_8400.0,1306,234
onehot__x4_6005.0,1307,235
onehot__x4_4540.0,1317,236
onehot__x4_1005.0,1323,237
onehot__x4_9650.0,1323,238
onehot__x4_6040.0,1327,239
onehot__x4_3140.0,1330,240
onehot__x4_4850.0,1332,241
onehot__x4_7360.0,1338,242
onehot__x4_8250.0,1349,243
onehot__x4_7610.0,1351,244
onehot__x4_2060.0,1353,245
onehot__x4_3900.0,1358,246
onehot__x4_3655.0,1372,247
onehot__x4_5220.0,1374,248
onehot__x1_4,1376,249
onehot__x4_3610.0,1379,250
onehot__x4_4710.0,1390,251
onehot__x4_6130.0,1390,252
onehot__x4_4950.0,1416,253
onehot__x4_6710.0,1419,254
onehot__x4_5110.0,1428,255
onehot__x4_3800.0,1428,256
onehot__x2_4,1431,257
onehot__x4_5510.0,1436,258
onehot__x1_1,1438,259
onehot__x4_5820.0,1443,260
onehot__x4_700.0,1443,261
onehot__x4_9750.0,1445,262
onehot__x1_5,1451,263
onehot__x4_3720.0,1454,264
onehot__x4_4900.0,1458,265
onehot__x4_8220.0,1460,266
onehot__x4_6210.0,1463,267
onehot__x4_1610.0,1476,268
onehot__x3_3.0,1478,269
onehot__x4_5860.0,1481,270
onehot__x4_4460.0,1492,271
onehot__x4_2600.0,1513,272
onehot__x4_9510.0,1518,273
onehot__x4_4320.0,1531,274
onehot__x4_9810.0,1531,275
onehot__x4_9410.0,1542,276
onehot__x4_7000.0,1547,277
onehot__x4_1050.0,1548,278
onehot__x4_100.0,1550,279
onehot__x4_530.0,1556,280
onehot__x4_8720.0,1561,281
onehot__x4_5260.0,1567,282
onehot__x4_6800.0,1572,283
onehot__x4_8540.0,1573,284
onehot__x4_8640.0,1573,285
onehot__x4_7020.0,1588,286
onehot__x2_6,1595,287
onehot__x4_8910.0,1599,288
onehot__x4_5700.0,1601,289
onehot__x4_7430.0,1607,290
onehot__x4_9050.0,1608,291
onehot__x4_4510.0,1611,292
onehot__x4_4740.0,1611,293
onehot__x3_1.0,1613,294
onehot__x4_5630.0,1617,295
onehot__x4_6530.0,1617,296
onehot__x4_5240.0,1618,297
onehot__x4_3647.0,1620,298
onehot__x4_950.0,1624,299
onehot__x4_1900.0,1627,300
onehot__x4_3540.0,1629,301
onehot__x4_2700.0,1629,302
onehot__x4_3500.0,1635,303
onehot__x4_3750.0,1645,304
onehot__x4_2040.0,1648,305
onehot__x4_4750.0,1652,306
onehot__x4_540.0,1665,307
onehot__x4_6360.0,1667,308
onehot__x2_1,1675,309
onehot__x2_8,1681,310
onehot__x4_3710.0,1682,311
onehot__x4_640.0,1685,312
onehot__x4_3840.0,1688,313
onehot__x4_7710.0,1694,314
onehot__x4_410.0,1697,315
onehot__x4_5840.0,1698,316
onehot__x4_7730.0,1704,317
onehot__x4_7630.0,1704,318
onehot__x4_7850.0,1708,319
onehot__x4_3210.0,1719,320
onehot__x4_2825.0,1720,321
onehot__x4_7700.0,1728,322
onehot__x4_4920.0,1729,323
onehot__x4_205.0,1731,324
onehot__x4_1560.0,1732,325
