features,imp_avg,imp_std
onehot__x4_9120.0,17.666666666666668,5.82141639885766
onehot__x4_840.0,17.333333333333332,4.818944098266987
onehot__x4_4010.0,17.333333333333332,6.046119049072351
onehot__x4_1350.0,17.166666666666668,7.51480021173033
onehot__x4_3220.0,16.833333333333332,5.66911711723165
onehot__x4_2010.0,16.666666666666668,7.156970184527963
onehot__x4_565.0,16.666666666666668,4.955356249106169
onehot__x4_735.0,16.333333333333332,5.022173057773122
onehot__x3_4.0,16.0,12.110601416389967
onehot__x4_9610.0,15.833333333333334,6.066758241067099
onehot__x4_9640.0,15.5,3.8622100754188224
onehot__x4_5110.0,15.333333333333334,7.203394261658103
onehot__x4_5000.0,15.333333333333334,7.086763875156433
onehot__x4_4000.0,15.333333333333334,4.853406592853679
onehot__x4_1650.0,15.166666666666666,4.6696419087073
onehot__x4_8220.0,15.166666666666666,5.177408189003023
onehot__x4_7000.0,15.0,4.898979485566356
onehot__x4_4620.0,14.666666666666666,3.5901098714230026
onehot__x4_4930.0,14.5,10.965856099730654
onehot__x4_4050.0,14.166666666666666,5.2094998693625945
onehot__x4_6730.0,14.0,6.110100926607787
onehot__x4_4810.0,14.0,7.094598884597588
onehot__x4_7950.0,14.0,3.1622776601683795
onehot__x4_5810.0,13.833333333333334,3.9334745737353156
onehot__x4_7330.0,13.833333333333334,5.814254514170804
onehot__x4_4130.0,13.833333333333334,8.47381587925744
onehot__x4_4140.0,13.833333333333334,6.256108126374486
onehot__x4_7800.0,13.666666666666666,3.944053188733077
onehot__x4_1550.0,13.666666666666666,6.182412330330469
onehot__x4_4820.0,13.666666666666666,4.533823502911814
onehot__x4_5550.0,13.666666666666666,7.888106377466155
onehot__x4_4650.0,13.666666666666666,6.79869268479038
onehot__x4_4510.0,13.5,9.322910847297997
onehot__x4_310.0,13.5,10.436314802968846
onehot__x4_3250.0,13.5,9.160604055774197
onehot__x4_6355.0,13.333333333333334,8.900686615212459
onehot__x4_4520.0,13.166666666666666,6.121455890735652
onehot__x1_5,12.833333333333334,8.513061859414755
onehot__x4_8630.0,12.666666666666666,9.374907406950156
onehot__x4_5300.0,12.5,5.188127472091127
onehot__x4_9050.0,12.5,3.947573094109004
onehot__x4_600.0,12.5,4.9916597106239795
onehot__x4_2016.0,12.333333333333334,2.6246692913372702
onehot__x4_7855.0,12.333333333333334,4.533823502911814
onehot__x4_740.0,12.166666666666666,6.039223643997813
onehot__x4_1220.0,12.166666666666666,4.597704741377907
onehot__x4_8140.0,12.0,10.181682899534175
onehot__x4_1030.0,12.0,5.773502691896258
